O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
3.00,100,282.10,4754.97,4293.96,1350.16,22.5938,1.2288,1.70,1.0134
3.00,150,282.13,4770.87,4299.14,1355.73,22.6014,1.2320,2.20,0.9912
3.00,200,282.15,4780.87,4302.28,1361.64,22.6060,1.2339,2.60,1.0159
3.00,250,282.17,4787.94,4304.45,1367.38,22.6092,1.2353,3.00,1.0199
3.00,300,282.18,4793.30,4306.06,1372.78,22.6116,1.2364,3.40,1.0140
3.00,350,282.20,4797.55,4307.31,1377.80,22.6135,1.2372,3.80,1.0032
3.00,400,282.21,4801.03,4308.33,1382.48,22.6151,1.2379,4.20,0.9902
3.00,450,282.23,4803.95,4309.18,1386.84,22.6164,1.2384,4.50,1.0077
3.00,500,282.24,4806.45,4309.90,1390.91,22.6174,1.2389,4.90,0.9901
3.00,550,282.25,4808.62,4310.52,1394.74,22.6184,1.2393,5.20,1.0001
3.00,600,282.27,4810.53,4311.06,1398.33,22.6192,1.2397,5.50,1.0071
3.00,650,282.28,4812.23,4311.54,1401.72,22.6200,1.2400,5.80,1.0116
3.00,700,282.29,4813.75,4311.97,1404.93,22.6206,1.2403,6.20,0.9913
3.00,750,282.30,4815.13,4312.36,1407.98,22.6212,1.2406,6.50,0.9936
3.00,800,282.31,4816.38,4312.71,1410.89,22.6218,1.2408,6.80,0.9947
3.00,850,282.32,4817.53,4313.02,1413.65,22.6223,1.2411,7.10,0.9948
3.00,900,282.33,4818.59,4313.32,1416.30,22.6227,1.2413,7.40,0.9941
3.00,950,282.34,4819.56,4313.59,1418.84,22.6232,1.2414,7.70,0.9928
3.00,1000,282.35,4820.46,4313.85,1421.27,22.6236,1.2416,7.90,1.0084
3.10,100,284.13,4845.36,4391.66,1384.73,22.8512,1.2224,1.70,1.0184
3.10,150,284.16,4864.57,4398.46,1386.36,22.8610,1.2261,2.20,0.9962
3.10,200,284.18,4876.75,4402.61,1388.86,22.8670,1.2284,2.60,1.0210
3.10,250,284.19,4885.41,4405.47,1391.80,22.8712,1.2300,3.10,0.9757
3.10,300,284.21,4892.00,4407.60,1394.94,22.8743,1.2313,3.40,1.0192
3.10,350,284.22,4897.24,4409.28,1398.14,22.8768,1.2323,3.80,1.0085
