O/F, Pc (psia), Isp (s), Tc (R), Tt (R), Te (R), MW (lb/lbmol), gamma
3.00, 100, 282.10, 4754.97, 4293.96, 4293.96, 22.5938, 1.2288
3.00, 150, 282.13, 4770.87, 4299.14, 4299.14, 22.6014, 1.2320
3.00, 200, 282.15, 4780.87, 4302.28, 4302.28, 22.6060, 1.2339
3.00, 250, 282.17, 4787.94, 4304.45, 4304.45, 22.6092, 1.2353
3.00, 300, 282.18, 4793.30, 4306.06, 4306.06, 22.6116, 1.2364
3.00, 350, 282.20, 4797.55, 4307.31, 4307.31, 22.6135, 1.2372
3.00, 400, 282.21, 4801.03, 4308.33, 4308.33, 22.6151, 1.2379
3.00, 450, 282.23, 4803.95, 4309.18, 4309.18, 22.6164, 1.2384
3.00, 500, 282.24, 4806.45, 4309.90, 4309.90, 22.6174, 1.2389
3.00, 550, 282.25, 4808.62, 4310.52, 4310.52, 22.6184, 1.2393
3.00, 600, 282.27, 4810.53, 4311.06, 4311.06, 22.6192, 1.2397
3.00, 650, 282.28, 4812.23, 4311.54, 4311.54, 22.6200, 1.2400
3.00, 700, 282.29, 4813.75, 4311.97, 4311.97, 22.6206, 1.2403
3.00, 750, 282.30, 4815.13, 4312.36, 4312.36, 22.6212, 1.2406
3.00, 800, 282.31, 4816.38, 4312.71, 4312.71, 22.6218, 1.2408
3.00, 850, 282.32, 4817.53, 4313.02, 4313.02, 22.6223, 1.2411
3.00, 900, 282.33, 4818.59, 4313.32, 4313.32, 22.6227, 1.2413
3.00, 950, 282.34, 4819.56, 4313.59, 4313.59, 22.6232, 1.2414
3.00, 1000, 282.35, 4820.46, 4313.85, 4313.85, 22.6236, 1.2416
3.10, 100, 284.13, 4845.36, 4391.66, 4391.66, 22.8512, 1.2224
3.10, 150, 284.16, 4864.57, 4398.46, 4398.46, 22.8610, 1.2261
3.10, 200, 284.18, 4876.75, 4402.61, 4402.61, 22.8670, 1.2284
3.10, 250, 284.19, 4885.41, 4405.47, 4405.47, 22.8712, 1.2300
3.10, 300, 284.21, 4892.00, 4407.60, 4407.60, 22.8743, 1.2313
3.10, 350, 284.22, 4897.24, 4409.28, 4409.28, 22.8768, 1.2323
3.10, 400, 284.23, 4901.55, 4410.63, 4410.63, 22.8788, 1.2331
3.10, 450, 284.24, 4905.17, 4411.76, 4411.76, 22.8805, 1.2338
3.10, 500, 284.25, 4908.28, 4412.71, 4412.71, 22.8819, 1.2344
3.10, 550, 284.26, 4910.98, 4413.54, 4413.54, 22.8832, 1.2349
3.10, 600, 284.26, 4913.36, 4414.26, 4414.26, 22.8842, 1.2353
3.10, 650, 284.27, 4915.48, 4414.90, 4414.90, 22.8852, 1.2357
3.10, 700, 284.28, 4917.39, 4415.48, 4415.48, 22.8861, 1.2361
3.10, 750, 284.29, 4919.11, 4415.99, 4415.99, 22.8869, 1.2364
3.10, 800, 284.30, 4920.68, 4416.46, 4416.46, 22.8876, 1.2367
3.10, 850, 284.30, 4922.12, 4416.88, 4416.88, 22.8882, 1.2369
3.10, 900, 284.31, 4923.44, 4417.27, 4417.27, 22.8888, 1.2372
3.10, 950, 284.32, 4924.66, 4417.63, 4417.63, 22.8894, 1.2374
3.10, 1000, 284.32, 4925.80, 4417.97, 4417.97, 22.8899, 1.2376
3.20, 100, 286.03, 4928.14, 4483.59, 4483.59, 23.0988, 1.2158
3.20, 150, 286.07, 4950.90, 4492.32, 4492.32, 23.1112, 1.2200
3.20, 200, 286.09, 4965.46, 4497.66, 4497.66, 23.1189, 1.2226
3.20, 250, 286.10, 4975.87, 4501.37, 4501.37, 23.1242, 1.2245
3.20, 300, 286.12, 4983.82, 4504.14, 4504.14, 23.1282, 1.2260
3.20, 350, 286.13, 4990.18, 4506.31, 4506.31, 23.1314, 1.2271
3.20, 400, 286.14, 4995.41, 4508.08, 4508.08, 23.1340, 1.2281
3.20, 450, 286.14, 4999.82, 4509.55, 4509.55, 23.1362, 1.2289
3.20, 500, 286.15, 5003.61, 4510.80, 4510.80, 23.1380, 1.2296
3.20, 550, 286.16, 5006.92, 4511.88, 4511.88, 23.1396, 1.2302
3.20, 600, 286.16, 5009.84, 4512.82, 4512.82, 23.1410, 1.2307
3.20, 650, 286.17, 5012.44, 4513.66, 4513.66, 23.1422, 1.2312
3.20, 700, 286.18, 5014.78, 4514.41, 4514.41, 23.1434, 1.2316
3.20, 750, 286.18, 5016.90, 4515.08, 4515.08, 23.1444, 1.2320
3.20, 800, 286.19, 5018.83, 4515.69, 4515.69, 23.1453, 1.2324
3.20, 850, 286.19, 5020.60, 4516.25, 4516.25, 23.1461, 1.2327
3.20, 900, 286.20, 5022.23, 4516.76, 4516.76, 23.1469, 1.2330
3.20, 950, 286.20, 5023.74, 4517.23, 4517.23, 23.1476, 1.2333
3.20, 1000, 286.21, 5025.15, 4517.67, 4517.67, 23.1483, 1.2335
