OF_Ratio,Chamber_Temp_K,Gamma_Chamber,Gamma_Throat,Molar_Mass_g_mol,Vac_Isp_s,Cstar_m_s
3.00,2670.25,1.2261,1.2389,22.62,282.24,1513.90
3.10,2726.82,1.2205,1.2344,22.88,284.25,1523.48
3.20,2779.79,1.2148,1.2296,23.14,286.15,1532.32
3.30,2829.14,1.2089,1.2246,23.39,287.95,1540.44
3.40,2874.88,1.2030,1.2194,23.62,289.65,1547.90
3.50,2916.99,1.1970,1.2140,23.86,291.25,1554.72
3.60,2955.47,1.1911,1.2082,24.08,292.75,1560.91
3.70,2990.34,1.1853,1.2023,24.29,294.17,1566.46
3.80,3021.64,1.1798,1.1962,24.50,295.50,1571.39
3.90,3049.46,1.1745,1.1900,24.69,296.76,1575.67
4.00,3073.95,1.1697,1.1838,24.88,297.94,1579.29
4.10,3095.28,1.1653,1.1778,25.05,299.05,1582.25
4.20,3113.66,1.1614,1.1721,25.22,300.09,1584.54
4.30,3129.32,1.1580,1.1668,25.38,301.07,1586.18
4.40,3142.52,1.1550,1.1620,25.53,301.98,1587.21
4.50,3153.49,1.1525,1.1579,25.66,302.84,1587.65
4.60,3162.48,1.1504,1.1543,25.80,303.63,1587.58
4.70,3169.71,1.1487,1.1513,25.92,304.37,1587.04
4.80,3175.39,1.1472,1.1488,26.03,305.05,1586.10
4.90,3179.71,1.1461,1.1467,26.14,305.67,1584.82
5.00,3182.83,1.1451,1.1451,26.25,306.25,1583.25
5.10,3184.90,1.1444,1.1438,26.34,306.76,1581.43
5.20,3186.05,1.1438,1.1429,26.44,307.23,1579.41
5.30,3186.39,1.1434,1.1422,26.52,307.63,1577.22
5.40,3186.03,1.1431,1.1417,26.61,307.97,1574.89
5.50,3185.04,1.1429,1.1414,26.69,308.24,1572.46
5.60,3183.50,1.1428,1.1412,26.76,308.42,1569.94
5.70,3181.47,1.1428,1.1412,26.83,308.46,1567.34
5.80,3179.03,1.1429,1.1413,26.90,307.84,1564.69
5.90,3176.20,1.1430,1.1415,26.96,306.94,1562.00
6.00,3173.04,1.1431,1.1417,27.03,306.01,1559.28
