O/F,Pc_psia,Isp_s,Tc_R,Tt_R,Te_R,MW_lbm_lbmol,Gamma,Optimal_Eps,Pe_to_Pamb
1.00,100,230.57,2017.99,1907.61,1222.87,15.3987,1.1476,1.90,0.9675
1.00,150,231.62,2062.31,1947.63,1239.26,15.5613,1.1495,2.40,1.0262
1.00,200,232.36,2094.97,1977.08,1251.21,15.6872,1.1509,3.00,0.9979
1.00,250,232.94,2121.01,2000.55,1260.66,15.7909,1.1519,3.50,1.0087
1.00,300,233.41,2142.74,2020.12,1268.49,15.8798,1.1528,4.00,1.0101
1.00,350,233.80,2161.44,2036.95,1275.19,15.9577,1.1534,4.50,1.0065
1.00,400,234.14,2177.86,2051.73,1281.05,16.0273,1.1540,5.00,1.0003
1.00,450,234.45,2192.54,2064.93,1286.26,16.0903,1.1545,5.50,0.9928
1.00,500,234.71,2205.81,2076.87,1290.95,16.1479,1.1550,5.90,1.0061
1.00,550,234.96,2217.93,2087.77,1295.22,16.2011,1.1554,6.40,0.9955
1.00,600,235.18,2229.08,2097.81,1299.14,16.2505,1.1557,6.80,1.0038
1.00,650,235.38,2239.43,2107.11,1302.76,16.2967,1.1560,7.30,0.9922
1.00,700,235.57,2249.08,2115.79,1306.13,16.3400,1.1563,7.70,0.9975
1.00,750,235.74,2258.12,2123.92,1309.28,16.3809,1.1566,8.10,1.0013
1.00,800,235.91,2266.62,2131.57,1312.23,16.4196,1.1568,8.50,1.0040
1.00,850,236.06,2274.66,2138.79,1315.02,16.4563,1.1570,8.90,1.0058
1.00,900,236.20,2282.27,2145.64,1317.65,16.4913,1.1572,9.40,0.9933
1.00,950,236.34,2289.51,2152.15,1320.15,16.5247,1.1574,9.80,0.9942
1.00,1000,236.47,2296.40,2158.35,1322.52,16.5567,1.1576,10.00,1.0197
1.10,100,232.98,2058.79,1940.39,1246.59,15.7400,1.1535,1.90,0.9636
1.10,150,234.06,2103.24,1980.67,1262.72,15.8914,1.1553,2.40,1.0220
1.10,200,234.83,2136.09,2010.36,1274.51,16.0096,1.1566,3.00,0.9938
1.10,250,235.42,2162.31,2034.04,1283.85,16.1077,1.1576,3.50,1.0046
1.10,300,235.90,2184.23,2053.81,1291.61,16.1920,1.1584,4.00,1.0060
